"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"lambda[1]",0.201189543364883,0.000242059214782942,0.0220431561987198,0.161084630687181,0.185938423311074,0.20014284551176,0.215255196301796,0.247730178093653,8292.85966018262,1.00035318005578
"lambda[2]",0.194649003754724,0.000199509453959944,0.0193891133740135,0.159089492584244,0.181208940057297,0.19380807676815,0.206998816120595,0.235176655595432,9444.71680168962,1.00033881386986
"lambda[3]",0.183931446065939,0.00016674940235838,0.017673095785935,0.150583861668981,0.171758427766139,0.183573948027298,0.195494786189133,0.219685269107533,11233.0240953747,1.00022931020109
"lambda[4]",0.173520934997837,0.000164719102312427,0.0171631284311794,0.140063646630071,0.161965243225963,0.173321639028267,0.185054469108933,0.207674573191619,10856.878334819,1.0000250156704
"lambda[5]",0.164422190248095,0.000189102962914772,0.0174959775491866,0.129224590680805,0.153166207483603,0.164637178322716,0.176041670893726,0.198313340903308,8560.11813809052,1.00004860689886
"lambda[6]",0.158585443971131,0.000195327310953911,0.0173834599571215,0.123198815735798,0.147601128945433,0.158954566703914,0.170096718183464,0.191818612391881,7920.38879278818,1.00003482221928
"lambda[7]",0.156522950199994,0.000175343367821527,0.0162827299634026,0.123921460428246,0.145912908356375,0.156743862417207,0.167376456014486,0.187917674158837,8623.34483788391,1.00004839240466
"lambda[8]",0.153274356532897,0.000165837171318535,0.0160091695746177,0.121177869174545,0.14295877350194,0.153599233430584,0.163906297523142,0.183822275072983,9319.09731495653,1.00006021511599
"lambda[9]",0.152093810702709,0.000156526829513945,0.0157718335724279,0.1202276720023,0.141932815062803,0.15229212280491,0.162623721122835,0.182695432269266,10152.8225132995,0.99993840069191
"lambda[10]",0.153858147092256,0.000144119983524549,0.0155301836177837,0.122801168840184,0.143739038645435,0.153937317312159,0.164059282012238,0.18426260731567,11611.9397423033,0.999924055820492
"lambda[11]",0.160380672630047,0.000154433035065763,0.015235360554393,0.131535893135114,0.150069000608128,0.160000445276937,0.170128987379731,0.19177385693238,9732.51450536554,1.0000322871581
"lambda[12]",0.172014248774183,0.000236804272155816,0.0165429238179326,0.14265973796628,0.160648663884413,0.170965976355616,0.182197291788577,0.207603829764271,4880.28824115747,1.00069534585266
"lambda[13]",0.167025367819114,0.000239437253187615,0.0164582690335967,0.138133759614543,0.155506251321187,0.165855950759977,0.177218795667381,0.202431847477596,4724.81568214702,1.00059526727748
"lambda[14]",0.156882875374233,0.000215073018791881,0.0157732300687877,0.128664035424941,0.146004895399363,0.155831810657788,0.166749361827002,0.190222554060549,5378.60206262826,1.0006787886285
"lambda[15]",0.142773864570683,0.000174313109952608,0.0149164874711497,0.115324598424919,0.132662509981828,0.142205323513206,0.152217844852152,0.174241998577254,7322.73019274145,1.00041587256107
"lambda[16]",0.12680719264761,0.000139184331116599,0.0145699024397119,0.0988946233022849,0.117051890683554,0.126486434913927,0.136203877724798,0.156386812506299,10958.0327513258,1.00035237706564
"lambda[17]",0.110368966965804,0.000131161920980549,0.0146728669602883,0.0811313927594592,0.100838105343692,0.110394620978529,0.120049679160761,0.138955583712297,12514.526499046,1.00015473003033
"lambda[18]",0.0950141336501956,0.000161853918401132,0.0153239878505642,0.0625768179593119,0.0855044000783813,0.0955639707847856,0.10517125814051,0.123522347610678,8963.90328551386,0.999979871841083
"lambda[19]",0.0809496766450552,0.000188761226141477,0.0160320561163983,0.0463063459038199,0.0710364765882633,0.0819168192476739,0.0916732885121779,0.110130123409472,7213.6134959835,1.00016694429541
