"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"lambda",0.296546640262469,0.00049613502904707,0.0358517518205947,0.236168781019019,0.27086334899478,0.29306822299365,0.318700272768569,0.375027708122537,5221.80898101556,1.00039382726888
"gamma",0.062633074694636,0.00015109482614777,0.0108437163079435,0.044474742763156,0.0548750360601805,0.0616325933980456,0.0692289381569627,0.0865706755283017,5150.59150941076,1.00033334246804
"lambda_exp_2006[1]",0.248573512100112,0.000336949111709193,0.0245518127860963,0.205602102480666,0.231015813996838,0.24672106092478,0.264272693497108,0.300814005532253,5309.31504178733,1.0004076795563
"lambda_exp_2006[2]",0.421552712493714,0.00045744870360594,0.033683308801856,0.360584571236124,0.397719186445659,0.419831086234577,0.443695038419167,0.491231840670748,5421.81495759889,1.00041991832383
"lambda_exp_2006[3]",0.542181228000112,0.00046509816166056,0.034717906349782,0.477083097818128,0.517985561563506,0.541197876628296,0.565611443306264,0.611754163573454,5572.08597513683,1.00042965227008
"lambda_exp_2006[4]",0.626475997458128,0.000418938356892158,0.0318827148719373,0.564685265871972,0.604549974930028,0.626207250912546,0.648347039054777,0.688530847744786,5791.75710981547,1.00043538214642
"lambda_exp_2006[5]",0.685499387522403,0.000351980280900289,0.0275628032274792,0.630486051731866,0.666933930628415,0.685914730048931,0.704712761578939,0.737433392764811,6132.1123358847,1.00043456904816
"lambda_exp_2006[6]",0.726908859133283,0.000281975164001086,0.023062272389443,0.679657072997801,0.711719379539499,0.727689041588401,0.742986812835611,0.769389562258478,6689.32780570152,1.0004231489763
"lambda_exp_2006[7]",0.756016509219983,0.000217910633750692,0.0190613875708038,0.716485809052759,0.743650424248922,0.756822486091833,0.769352216170029,0.790919983181754,7651.59854998667,1.00039561382591
"lambda_exp_2006[8]",0.776515248373584,0.00016408686423202,0.0158816647886704,0.743535233599989,0.766368402855569,0.777230684820857,0.787506331546744,0.805701464814686,9367.94687742385,1.00034735906121
"lambda_exp_2006[9]",0.790977670171189,0.000122951285167527,0.0136241678869534,0.762913918455557,0.782161480174067,0.791492296083509,0.800332116080361,0.816537532380103,12278.7406996259,1.00028083831023
