"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"lambda",0.0821116654107543,3.54706176463105e-05,0.00303438626766956,0.0762689936265594,0.0800506186071029,0.0820428692672285,0.0841489924499397,0.0882619866596922,7318.19920141464,1.00027094506842
"lambda_exp_2006[1]",0.0788266694807424,3.26669653341645e-05,0.00279480685455607,0.0734330675650194,0.0769303792944064,0.078767534710904,0.0807057220156654,0.0844790089850245,7319.57754519771,1.00027227316216
"lambda_exp_2006[2]",0.151431884473667,6.01708020318903e-05,0.00514835560719305,0.141473719717889,0.147942475330429,0.151330744897371,0.154898030465259,0.161821315010921,7320.91682949727,1.00027360348023
"lambda_exp_2006[3]",0.218307294734222,8.31248825103651e-05,0.00711299232117955,0.204517938063928,0.213491583883907,0.218178329906737,0.223102595093417,0.232629819671103,7322.21692155756,1.00027493601646
"lambda_exp_2006[4]",0.279905648693257,0.000102077667534069,0.00873553321595588,0.262932626064476,0.273997974653954,0.279760495443535,0.285802661088494,0.297456492029857,7323.47769257979,1.00027627076452
"lambda_exp_2006[5]",0.336643875346583,0.00011751916014375,0.0100578133279453,0.317057744334205,0.329849585832324,0.336491985618838,0.343442472987007,0.356806671351927,7324.69901773344,1.00027760771795
"lambda_exp_2006[6]",0.38890592168146,0.000129886742252471,0.011117182816356,0.367208289136996,0.381404511378538,0.388754876172555,0.396430422249402,0.411143006341769,7325.88077617054,1.00027894687012
"lambda_exp_2006[7]",0.437045365055671,0.000139570451438456,0.011946955779964,0.413676125594804,0.428993296947985,0.436901147680489,0.445141940808446,0.460889061599778,7327.02285103648,1.00028028821425
"lambda_exp_2006[8]",0.481387818400894,0.000146917750201694,0.0125768160070298,0.456731686278358,0.472921059193413,0.481255056076219,0.489922161091702,0.506432619408666,7328.12512948197,1.00028163174342
"lambda_exp_2006[9]",0.522233144701094,0.000152237835163459,0.0130331836765896,0.49662554506515,0.513469442027746,0.522115316452824,0.531088361364976,0.548128702588201,7329.18750267245,1.00028297745053
"lambda_exp_2006[10]",0.559857495888703,0.000155805529332454,0.0133395466618151,0.533589875424194,0.550898422390858,0.559757114851917,0.568932213722554,0.586302341982167,7330.20986580085,1.00028432532833
