"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma",0.0131348864765856,5.73568687213899e-05,0.0028528246339214,0.00859822480296631,0.0110871451253796,0.0127859376461329,0.0148030065670388,0.019661374295191,2473.88372832314,1.00084906210888
"lambda[1]",0.222209280753071,0.000257394140409067,0.024090449180012,0.177930615624158,0.205922938835667,0.221090672310142,0.237425359097467,0.272451265908385,8759.76556822998,1.00036992317151
"lambda[2]",0.215256966082618,0.00022383377350211,0.0214341350927543,0.175507662026695,0.200448184042784,0.214467110541426,0.229179013354307,0.259800958826014,9169.81754750008,1.00037157171142
"lambda[3]",0.203714472825887,0.000187119091207009,0.0196487933508043,0.166372086986392,0.190404686532183,0.20294638426342,0.216641570987744,0.244031629432291,11026.4464127043,1.00029846404897
"lambda[4]",0.19251599262165,0.000178115102910391,0.0191634306187251,0.155074269538661,0.179811701947829,0.192449506266758,0.205223846734031,0.230570764312272,11575.640352052,1.00025335661279
"lambda[5]",0.182536016860518,0.000188993415355909,0.0192562140336506,0.14361981967525,0.170107094029402,0.182715262043113,0.195523397033747,0.219679372868818,10381.2216139859,1.00013751236514
"lambda[6]",0.17610182158482,0.000192898580492406,0.0190030107957138,0.137001031289505,0.163969359672809,0.17654026476285,0.188840812673275,0.212309141577241,9704.80395351233,1.00007104348579
"lambda[7]",0.173639781756844,0.000177654995540403,0.0177511108138085,0.137414162471415,0.162163331790081,0.173968533206287,0.18544551027508,0.207931897879086,9983.80803953126,1.00013838565433
"lambda[8]",0.170125325118862,0.000177261021064404,0.0175033002690702,0.134878851261892,0.158671845199575,0.170475135643265,0.181864059720426,0.204048671328868,9750.19705693472,1.00019176323333
"lambda[9]",0.168934633916345,0.000159455302665418,0.0173150073442852,0.134315101236802,0.157538649495461,0.169070248973959,0.180614394799952,0.202573022901832,11791.4558093961,1.00020094704836
"lambda[10]",0.170822938514666,0.000145855591505187,0.0169515477821874,0.137186923620485,0.159875837542316,0.170890662460021,0.181956903848952,0.204123833930182,13507.4245585695,1.00005661580886
"lambda[11]",0.177900291200434,0.000168805492554374,0.0167866617505301,0.146303667087465,0.166484910170579,0.177526630067051,0.188676219842694,0.212675098091282,9889.07184451498,1.00004011804496
"lambda[12]",0.190397253281148,0.00026311657624929,0.017918742225686,0.158507733476417,0.17787829321827,0.189277774941248,0.201641378173812,0.228795121275284,4637.87057553469,1.00018860097374
"lambda[13]",0.184638775551488,0.000271792844548821,0.0178502339974815,0.15284032699742,0.172109238016437,0.183530412346957,0.195881408124757,0.222869249150941,4313.32109490443,1.00037971350699
"lambda[14]",0.173514343549652,0.000240398415713556,0.0171187167737992,0.143056242973298,0.161456701260098,0.172497738537926,0.184519359224153,0.210100912660917,5070.83186625721,1.00034300346826
"lambda[15]",0.158084042176245,0.000182535384614933,0.016247534731131,0.128452423604181,0.146817429576515,0.157338246108625,0.168575917514219,0.192027867334644,7922.83875881679,1.00017858075453
"lambda[16]",0.14043063162536,0.000146023068173116,0.0158363880592552,0.109692053849755,0.129913308855816,0.140139610793843,0.150529326151708,0.172544884847255,11761.6792518364,1.00008151094237
"lambda[17]",0.12232061770551,0.000146159701926383,0.0160824743285808,0.0897299664375796,0.11195983484259,0.122535469558476,0.132927115525774,0.153624558228789,12107.3873332044,1.00015770125949
"lambda[18]",0.105668900817058,0.000170993911129141,0.0165521776078865,0.0712782641656303,0.0950363214283289,0.106228206884805,0.116861535676466,0.136967853216854,9370.20264928848,1.00032182232125
"lambda[19]",0.0900413913947554,0.00020791739034823,0.0172776425823821,0.0539047099619318,0.0790165675789414,0.0908378320253834,0.101864143026872,0.121822711429953,6905.37614595997,1.00060930574111
"lambda[20]",0.0758760185272934,0.000246785198411269,0.0180289370163551,0.0376661995448343,0.0644299375004735,0.0768556142359099,0.0883097959607726,0.108823684670748,5337.05928047812,1.00069280010809
"lambda[21]",0.0636635798692943,0.00027530397921445,0.0183924002672609,0.0245539787099001,0.0518978777141111,0.0646129883187644,0.076354434127602,0.0973018396978125,4463.25645904744,1.00063164080279
"lambda[22]",0.0533724804716501,0.000276966453274762,0.0180815573939237,0.0162183988755874,0.0413784792555121,0.054018856555987,0.0659763758980751,0.0870921020744054,4262.03811446635,1.00058381914237
"lambda[23]",0.0455026559609582,0.000262082654343254,0.017417819780923,0.0104477598640967,0.0335358984907002,0.0459295388342242,0.057623342410566,0.0786444221577331,4416.83350064957,1.00050933683822
"lambda[24]",0.0394857351430942,0.000232037763964907,0.0165916203381246,0.00775300858524078,0.0277676383412824,0.0394063431130295,0.0510363466394045,0.0719563920700234,5112.81712467728,1.00062475240915
"lambda[25]",0.0349940133218524,0.000203218296843219,0.0158748173216739,0.00589504218195106,0.0234865641587924,0.034649016996324,0.0457764116462986,0.0670498033025294,6102.27616555923,1.00036744631874
"lambda[26]",0.0321350585639884,0.000179541253327994,0.0152795759720998,0.00491379516173417,0.0209609744359926,0.0314117785719451,0.0424629232174687,0.0635267891918368,7242.59331180426,1.00005194296519
"lambda[27]",0.0298789802371198,0.000167935323054015,0.01487719249087,0.00395314421087017,0.0190180109014159,0.0290011240538406,0.0397007731917385,0.0610202811599278,7847.97943538768,1.00009952146997
"lambda[28]",0.0279613326848668,0.000154892114952144,0.0145498869147039,0.00335376820025452,0.0171962115185428,0.0268875962513604,0.0374121379059572,0.0588220009088924,8823.90078188098,1.00012097858331
"lambda[29]",0.0263206851971528,0.000146167697932696,0.0141588591573201,0.00288485195594168,0.0157771136380344,0.0251384623274842,0.0353701289844596,0.0567748944035295,9383.25911211968,1.00029648313254
"lambda[30]",0.0249117503415462,0.000140281541842996,0.0137977353409305,0.00246443270317348,0.014590878726238,0.0236909244506206,0.0337512095516517,0.0550625924193177,9674.18881634077,0.999998453157672
"lambda[31]",0.0239239655954306,0.00013396667263617,0.0135434880719645,0.0022898001817049,0.013806490651954,0.0224663514607013,0.0324273779091956,0.054047980207819,10220.3911569206,1.00016515321792
"lambda[32]",0.0230623993176434,0.000126408430109915,0.0132272355205517,0.00223814089114747,0.0131805843639796,0.021636504299662,0.0312557929344738,0.0523930451228352,10949.2935045583,1.00024501945348
"lambda[33]",0.0221719177483919,0.00012060073057376,0.0128045972148772,0.0020045473050761,0.0125427189656252,0.0207540212337163,0.0301384911676755,0.0506559541323564,11272.8042621943,1.00051953469177
"lambda[34]",0.0213184353080237,0.000116537897498683,0.0125627108785166,0.00183256806929567,0.0118663996329788,0.0198184773750611,0.0291273574061913,0.0493002519278591,11620.702224377,1.00055213886724
"lambda[35]",0.0204607289096695,0.000111445991504085,0.0122748502501759,0.00165913616683733,0.011178905864548,0.0189282538960753,0.0280193079747973,0.0479923521464412,12131.1926710228,1.00066671157454
"lambda[36]",0.0198356192075928,0.000110709904091721,0.0121313005819891,0.00153502396848791,0.0106767488222027,0.0183000590110346,0.0272367826247112,0.047133770426613,12007.200924065,1.00045261078243
"lambda[37]",0.0196021919769936,0.000107481338343583,0.0120437012416382,0.00149757062054372,0.0104369736197592,0.0181532367335969,0.0268567269776392,0.0471940901467719,12556.0725498449,1.00028924924795
