"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma",0.0278746324154906,0.00011878522419395,0.00613812118140868,0.0181336172169717,0.0235353135463157,0.027064251301319,0.0314034750982916,0.0419802986004712,2670.21402714209,1.00150499695993
"lambda[1]",0.482184080946781,0.000590260466878476,0.0538167927716706,0.384037367192852,0.444933225335144,0.479918910374643,0.516071626249998,0.596007380956404,8312.81720274551,1.00004622300749
"lambda[2]",0.468527416120621,0.000512756663803773,0.0478774406166962,0.381105145262843,0.435090696474618,0.466585864441683,0.499368717492878,0.567449086784613,8718.44889528868,0.999983312552754
"lambda[3]",0.445507864377885,0.00042134669436232,0.0437862864182507,0.362715297898322,0.415776461037857,0.44424381930662,0.474237153522657,0.534903605013858,10799.3357874028,0.999926155569255
"lambda[4]",0.422776671805954,0.000390044149758847,0.0421878947732633,0.340675921351778,0.394452650575126,0.422406042159418,0.450684149504073,0.507271011274461,11698.9846605002,0.999887596978546
"lambda[5]",0.402724380094334,0.000397978327909719,0.0423564632885736,0.317327690696617,0.375185134878529,0.403108576227401,0.430977563144308,0.48488139474693,11327.1469244777,0.999917663921739
"lambda[6]",0.389332951621883,0.000399331593639921,0.041530880434588,0.305343502986026,0.361933734554399,0.390135500954709,0.417148851501946,0.469281328385969,10816.2055864523,0.999958624237119
"lambda[7]",0.383723266293508,0.000363275041745937,0.0391976411191887,0.305060294921543,0.358204339492431,0.384279712520578,0.409725984549652,0.459722321771716,11642.5668953541,0.999931419768481
"lambda[8]",0.375761314544157,0.000344074409233229,0.0385710233579249,0.297914646829521,0.350154724763176,0.376474251013199,0.401713803635904,0.450031328125311,12566.5938067907,1.00007607159519
"lambda[9]",0.372330118075417,0.000327630388095193,0.0382299387290391,0.294805808645537,0.347587362975166,0.373001612809851,0.397861103200481,0.44554359791479,13615.6648097696,1.00016424175852
"lambda[10]",0.375161241891749,0.000310453424380355,0.0376263688115519,0.300661496330977,0.350405665596583,0.375448115310479,0.40003750739726,0.449652618490941,14688.9822842165,1.00025014441197
"lambda[11]",0.387988157875489,0.000345707160718548,0.036785938430591,0.318957392184029,0.363282912824639,0.387030509375677,0.411568483473779,0.463517225033,11322.6199096331,1.00059141845761
"lambda[12]",0.411425835035,0.000538808725548588,0.039027870253797,0.341945825009102,0.384513084809235,0.408927488315608,0.435801924307064,0.495342022215131,5246.63032119926,1.00104496441635
"lambda[13]",0.398563746349844,0.000553799417201118,0.0388927413683086,0.328896497539905,0.371498695845811,0.39604562933266,0.422931001313361,0.482489147003375,4932.102827989,1.00078276157536
"lambda[14]",0.37464122346265,0.000518946086757683,0.0377717038328241,0.307269145227471,0.348532946833034,0.37210807128701,0.39819829519792,0.456739941458816,5297.71594821572,1.00048174113097
"lambda[15]",0.34148521681635,0.000407561417211951,0.0355898466309217,0.27575266482191,0.317141598510049,0.339949537667628,0.364235633205572,0.41555853762503,7625.46102170655,1.0002704293052
"lambda[16]",0.303884226310763,0.000312174217675706,0.0344476978865578,0.238038831654361,0.280736909613638,0.303208257773579,0.326214253706012,0.373481293358833,12176.6085091197,1.00012189938696
"lambda[17]",0.265394113489707,0.000297059889881113,0.0346624387401369,0.196017748067103,0.242902492425189,0.265526639958745,0.288358896664467,0.333237643589343,13615.3935374363,1.00009461989034
"lambda[18]",0.229324153241139,0.000353638844831671,0.035782001385755,0.15583482065847,0.206512870522575,0.230579361237352,0.253401584509201,0.296623229740539,10237.8633818799,1.00035645702093
"lambda[19]",0.19560289444161,0.000442665649208364,0.0373716788304081,0.11669671098478,0.17225391159397,0.197535490781948,0.220819910355224,0.264666360076106,7127.44002570133,1.00043261167229
"lambda[20]",0.165194843782643,0.000496627657753623,0.0385881930175277,0.0840639673999685,0.140998331707295,0.166926994345409,0.191533765454104,0.235500096939005,6037.36009530292,1.00046441755919
"lambda[21]",0.138853834244328,0.000532422201887617,0.0388468944510155,0.0571287765870899,0.113826675601927,0.140629173016432,0.165645360547136,0.210004844734249,5323.53724487084,1.00044347795151
"lambda[22]",0.116621958417079,0.000540611431044033,0.0385048172577285,0.0380817912180392,0.0910377951526065,0.118101138265681,0.143519893337035,0.187980860682879,5072.93951516726,1.00050134205721
"lambda[23]",0.0989628514618856,0.000540233689894145,0.0376293283816184,0.0231477750452657,0.0732937442441213,0.0996223341929129,0.125079488535972,0.170620002680029,4851.65159463274,1.00063998084713
"lambda[24]",0.0857540434623326,0.000487924570947417,0.0359336295769568,0.0161947679227902,0.0606932403705777,0.0856249251143787,0.110733020001188,0.155694361809188,5423.71418470752,1.00087900027304
"lambda[25]",0.0756595302095995,0.00041265799966127,0.0340466165861302,0.0127067421694821,0.0507266426759186,0.075347892538001,0.0993052335286119,0.143884719625608,6807.18232046131,1.00052019956068
"lambda[26]",0.0691265598664707,0.000378054517697811,0.0329068899259439,0.010524883765523,0.0450718918993253,0.0678430772277816,0.0914518547283558,0.136724366471358,7576.43344600931,1.00028169986296
"lambda[27]",0.0642210892019076,0.000334267347439614,0.0317486492988999,0.00910580222710471,0.040910984990788,0.0621410653837728,0.0848380236424721,0.131487035388368,9021.16439281167,1.00047459924975
"lambda[28]",0.0598031463864192,0.00031274042220126,0.0307239953552617,0.00737527260605081,0.0371548022005707,0.0576460604860575,0.0797653873152731,0.125595823937473,9651.33399923137,1.0001731572229
"lambda[29]",0.0561755465279309,0.000296965604717908,0.0300857050515542,0.00615744841112847,0.0337364628712496,0.0537402122268079,0.0757048605473024,0.121500244988742,10263.7977290334,1.00015916862315
"lambda[30]",0.0532788202871286,0.000282602736716402,0.0291593624134862,0.00586156969818456,0.0315571736102143,0.0505458777724369,0.0721397079431183,0.116466401589527,10646.413278144,1.00002377934927
"lambda[31]",0.0510343987402837,0.000268556702662953,0.0287058119211622,0.00511903349949555,0.0296733522609418,0.0480291837689269,0.0690328741688776,0.114206601638307,11425.3017284917,1.00029785357729
"lambda[32]",0.0491104247386259,0.000252825794629518,0.0278574860706215,0.00472990913377899,0.0283525468812368,0.0461972026043518,0.0662597560174504,0.111465856831292,12140.6260469595,1.00045840644758
"lambda[33]",0.0470920058009618,0.000244073588598041,0.0271900355986178,0.00477833149596422,0.0264616677273419,0.0440253003869531,0.0640780135474801,0.107913169125245,12410.1771004565,1.00032797468177
"lambda[34]",0.0450857968725565,0.000226364444041408,0.026636523141099,0.0041430615302857,0.0250754713429156,0.0417833646058388,0.0611422992330541,0.104989849943703,13846.4565956578,1.00023621374178
"lambda[35]",0.0429040370952145,0.000232953332707554,0.026043723618844,0.00336963683829357,0.0231039440801343,0.0396372420610597,0.0589185815966344,0.101546725106741,12498.7994544876,1.00014108394057
"lambda[36]",0.0419364794858309,0.00022168342795068,0.0257477881100485,0.00337817573050411,0.0225988987250269,0.0387476022625761,0.0573677644719212,0.100672663135522,13490.0449276673,0.999953402613022
"lambda[37]",0.0413962312327685,0.000222206650108694,0.0253297725981333,0.00316211939413706,0.0221264823308997,0.0381884327331564,0.0569743090980753,0.0989015814105664,12994.1679985575,1.00000312942525
"lambda[38]",0.0410232632795267,0.000221619660498563,0.0250642127593038,0.00333273503412952,0.021995295517009,0.0377284570862062,0.0563546692249086,0.0981679196595489,12790.6191111407,1.00008836196042
"lambda[39]",0.0403612817097025,0.00021921000785748,0.0249398982563903,0.00297938140981572,0.0215641367134318,0.0371436389866641,0.0554878894748314,0.096571186857859,12944.0028405748,1.00014635808935
"lambda[40]",0.0398701482844124,0.000216542778045887,0.0248969435011637,0.00280728453071227,0.0208814728928942,0.0365615761648607,0.0549345811388522,0.0970860763896236,13219.1843566432,1.00023371689388
"lambda[41]",0.0398925522022704,0.000209801942091694,0.0247099811229237,0.00335042146852871,0.0211159134507582,0.0365850664344672,0.054915831739775,0.0967871433298293,13871.5764315022,1.00037278286621
"lambda[42]",0.0397144874653146,0.000207810224859041,0.0242902515371483,0.00336420296482812,0.0213257957680247,0.0365205653249507,0.0541603102067322,0.0953599082832351,13662.5007798887,1.00039652900306
"lambda[43]",0.0392809702958342,0.000205398981423914,0.0243540884503015,0.00307002754721491,0.020717295186518,0.0359547376112684,0.0540335785836317,0.094910659555983,14058.765494611,1.00008708757571
"lambda[44]",0.0388486990619915,0.000198543740232527,0.0241928922765952,0.00296698813781573,0.0205117404238334,0.0355646366944128,0.0534956240951406,0.0942526674872242,14847.8367989087,1.00013548861267
"lambda[45]",0.0383803831556476,0.000200924384683345,0.0241145886849548,0.00285710269644343,0.0200456293388967,0.0350572908665355,0.0528035301365844,0.0943349649097997,14404.3751397921,1.00013371819159
"lambda[46]",0.0382351886864068,0.000197207904602412,0.0240393379673172,0.00269777140301995,0.0201336555382661,0.0348078671531249,0.052577814163107,0.0944834816725567,14859.2321971288,1.00007489694728
"lambda[47]",0.0380442158253204,0.000195832571733429,0.0241297746253345,0.00252583382889006,0.0196349742899879,0.0346273876464104,0.0524068691027067,0.093235558061074,15182.2688132309,1.00016785781032
"lambda[48]",0.0377247827058179,0.000194753118070483,0.0239658964039899,0.00260898264459702,0.0193819831663087,0.0344174268525609,0.0520788146188528,0.09355478565778,15143.2299141732,1.00024448829087
"lambda[49]",0.0376327955846714,0.000194469960255781,0.0237941636637313,0.00252153301879886,0.0195870342592976,0.0341757080736445,0.0521133038930267,0.092973280424279,14970.4838838067,1.00013121642797
"lambda[50]",0.0374429221538042,0.000191792719840799,0.0238374434627979,0.00249129014484928,0.0192719601152473,0.0343330402590617,0.0516850734256196,0.0922061952210208,15447.3901676801,1.00019509069725
"lambda[51]",0.0371520562959453,0.000195049411290308,0.0236362931103085,0.00266344168396843,0.0191347507935828,0.034000822349259,0.0510163897963043,0.0918781474326426,14684.8476846183,1.00017903562832
"lambda[52]",0.0373480509245521,0.000198568687463377,0.0237055553522225,0.00259431000834552,0.0192841179314488,0.0341543192119608,0.0514726040934694,0.0919866024143159,14252.0959592311,1.00010390290013
"lambda[53]",0.0372858546865888,0.000200863594465155,0.0237972980738285,0.00245743345050189,0.0192026046137132,0.0339423808984827,0.0514158720220154,0.0919229763724124,14036.3064196942,1.00001818020389
"lambda[54]",0.0373178004654282,0.000196101571552915,0.0240101139552519,0.00240548379020364,0.0189892128069053,0.0339423522149004,0.0514877947597958,0.092465547221733,14990.8512344705,1.0000168632671
"lambda[55]",0.037357995007354,0.000198236373377677,0.02386581087873,0.00282675438891901,0.0191379657581683,0.0339359673508618,0.0513738373483182,0.0930998501735671,14493.9147219866,0.999950709015159
"lambda[56]",0.0373009263022414,0.00019273015882612,0.0239101374739329,0.00251199370398135,0.0190705497985158,0.0338396668721948,0.051576924359459,0.0931147670942949,15390.9273328211,0.999879101638374
"lambda[57]",0.037171206478739,0.000195831657149209,0.0236354367868754,0.00252193072262209,0.0191657022509954,0.0339047270366895,0.0513790327813175,0.0921309914386062,14566.7097632104,1.00006120803765
"lambda[58]",0.0370097603210755,0.000192057779324523,0.0233381895693225,0.0028714290740109,0.0192052373380639,0.0335992761934112,0.0510501826164985,0.0908718545304628,14766.2603138912,1.00000302193841
"lambda[59]",0.0369408089974273,0.000196545099015612,0.0233539087805834,0.00260261905058441,0.0191875785592298,0.0337906637512113,0.0507931659459787,0.0909117808749217,14118.7003605517,1.00015012113025
"lambda[60]",0.0370528258021799,0.000195661341626368,0.0236540543639327,0.00252190824870493,0.019116013468423,0.0337671081272197,0.0508846803631698,0.0918894605111578,14615.0776467919,0.999935168747303
"lambda[61]",0.0370563195873189,0.000196856152008008,0.0236762414227247,0.00245764613482571,0.0190892249708254,0.0337719004821084,0.0512121793235518,0.0913193023366064,14465.3030399422,0.999998383157455
"lambda[62]",0.0377089521430218,0.000209948348318254,0.0239121519586544,0.00272271134040903,0.0196046623756135,0.0343857498742589,0.051894825075394,0.0935781448237723,12972.1630608015,1.00013569631471
"lambda[63]",0.0382149446385743,0.000209881704871875,0.0243235814480232,0.00260300574144409,0.0195948783877086,0.0348167214751073,0.0527412305124769,0.0941444089516766,13430.9235350198,1.00017481088592
"lambda[64]",0.038609607321109,0.000212479224807872,0.0247389429515556,0.00289693001296178,0.0196257383130357,0.0350513628138248,0.0532804269760727,0.0954082799017289,13555.9304417375,1.00027512900487
"lambda[65]",0.0389759995515172,0.000209304623465009,0.0248822210873384,0.00283270117368752,0.020045894849007,0.0354463306941619,0.0538533124927592,0.0962771214689421,14132.5537389681,1.00025695808224
"lambda[66]",0.0392917301513676,0.000209552437465364,0.0246651620228744,0.00300430544889704,0.0206859177088819,0.0358004217926553,0.0540394706272553,0.0960066971181471,13854.2337767757,1.00013200172673
"lambda[67]",0.0398391969440501,0.000217598069682989,0.0249722251432988,0.00283949823767384,0.0209449440900929,0.0365289484917705,0.054714674437745,0.0974621502908238,13170.5650209692,1.0001676339092
"lambda[68]",0.0405652025958214,0.000229725188551191,0.025536450997476,0.00289148929588443,0.0213105692766819,0.0370883525156732,0.0557701926887186,0.0993787343476984,12356.7382228848,1.00009310230758
"lambda[69]",0.0418325912418386,0.000232346223908905,0.0263192000805683,0.00315113675536881,0.0219409679451439,0.0383677886147492,0.0573575346449745,0.102262425658899,12831.4026634303,1.00009432664768
"lambda[70]",0.0436502166037021,0.000238651022641374,0.0269148729227034,0.00377627000281991,0.0231023631280683,0.0400127870507791,0.0596745418424024,0.105051901024866,12719.1493798259,1.00015605424201
"lambda[71]",0.0460607400454593,0.000259652943914802,0.0278402804328885,0.00404803038966403,0.0251623960041301,0.0424344442289343,0.0626973771985014,0.109495175902998,11496.3693793259,1.00012196434344
"lambda[72]",0.0481096194129059,0.000285155023192154,0.0289576262226717,0.00417529509364221,0.0263175128755047,0.0443636572638443,0.065416165870409,0.114197116586459,10312.4976685097,1.00015156643885
"lambda[73]",0.0504368698261746,0.000301907862817239,0.0302503215709793,0.00430466112966613,0.027896613049083,0.0465897714481158,0.0685658817468903,0.119197862050918,10039.4782630478,1.00005972857903
"lambda[74]",0.0532255972866107,0.000331299807028048,0.031682154591116,0.00475446479240817,0.0296080559286442,0.0492797594716857,0.0722344159375954,0.124879187235743,9145.07037012524,1.00011335143305
"lambda[75]",0.0566643074657988,0.00036286283220548,0.0328786127936826,0.00597554780350542,0.0323492883503577,0.0522586581149726,0.0759269485498277,0.132602664296018,8209.97811123172,1.00009921957065
"lambda[76]",0.0604617689159175,0.000413531297322785,0.0349248963984218,0.00618921987247986,0.0345969657855222,0.0560020220408403,0.0813880773768546,0.140608383237913,7132.69223439445,1.00022511409585
"lambda[77]",0.0645097476119787,0.000463332471525442,0.036719588428144,0.00761913547612521,0.0373459509901216,0.0597585805639104,0.0865044630393151,0.14954263763299,6280.73014417329,1.00010347649019
"lambda[78]",0.0685345269490758,0.000511834844821943,0.0387964378017581,0.00823701836994292,0.0398244514117434,0.0636924221683161,0.0917648491829502,0.157635439779819,5745.44942280292,1.00031621488689
"lambda[79]",0.0730975554363898,0.000561741385501743,0.0407646838188846,0.00946738672707161,0.0428575190646063,0.0684087137357203,0.097524965766185,0.165478936138153,5266.17532923428,1.00028446564434
"lambda[80]",0.0784088058365964,0.000620872220284717,0.0431665383559244,0.0110148500959378,0.0464818397622992,0.0732232371010159,0.104171074065424,0.176246932358813,4833.81459107367,1.00050685935324
"lambda[81]",0.0838975240324388,0.000692061628165987,0.045822318385222,0.0116689238547479,0.0503629936481447,0.0784839011066377,0.110936665725345,0.188480447567589,4383.9397501164,1.00056820158666
