"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"lambda",0.0643810871558494,2.9989329491924e-05,0.00238083173173351,0.0598151876027303,0.0627351751242876,0.0643591657949489,0.0659468180399714,0.0692163911097565,6302.66019155378,1.00016396415727
"lambda_exp_2006[1]",0.0623497368537048,2.81154059699389e-05,0.00223213715205269,0.0580614005703658,0.0608078377941222,0.0623318392864763,0.0638193491102994,0.0668752616678617,6303.0831200792,1.00016399068297
"lambda_exp_2006[2]",0.120807001763362,5.27177130013231e-05,0.00418549415431332,0.112751674904534,0.117918082451002,0.120778420384109,0.123565788899712,0.129278222712548,6303.47967067202,1.00016402233287
"lambda_exp_2006[3]",0.175615111596935,7.41369355813039e-05,0.00588623450001734,0.164266555313279,0.171555576614363,0.175581918581911,0.179499249790086,0.187507969408494,6303.84982198396,1.00016405911547
"lambda_exp_2006[4]",0.227002154116011,9.26754663418188e-05,0.00735833488935774,0.212790409615273,0.22193149073292,0.226969413937705,0.231863073612932,0.241843586557273,6304.19355420586,1.00016410103905
"lambda_exp_2006[5]",0.275181942378618,0.000108610248591678,0.00862375690982129,0.258496900975417,0.269244154436994,0.27515383219164,0.280885072282462,0.292545495091322,6304.51084906785,1.00016414811169
"lambda_exp_2006[6]",0.320354909253496,0.000122194784425221,0.00970260575269167,0.301549609432032,0.313679837360917,0.320334827030854,0.326778518904803,0.339856700225081,6304.80168983989,1.00016420034126
"lambda_exp_2006[7]",0.362708945808634,0.00013366099053385,0.0106132769192615,0.342102617337305,0.355413482485308,0.362699607360942,0.369743075635266,0.384003956135683,6305.06606133157,1.00016425773541
"lambda_exp_2006[8]",0.402420187100122,0.000143220912968685,0.0113725918014588,0.380301060806255,0.394609394886398,0.402423713012085,0.40996566232037,0.425198852755334,6305.30394989232,1.0001643203016
"lambda_exp_2006[9]",0.439653748665609,0.00015106831128724,0.0119959229576577,0.416281649147788,0.431421888603993,0.439671742093978,0.447621269703689,0.463638829884157,6305.51534341105,1.00016438804706
"lambda_exp_2006[10]",0.474564416818769,0.000157380121759986,0.0124973098450645,0.450173154136864,0.465995894174799,0.474598033013399,0.482873720733446,0.499508123483974,6305.70023131503,1.00016446097882
"lambda_exp_2006[11]",0.507297295646488,0.000162317808609746,0.0128895657149225,0.482096870878835,0.498467529222951,0.507347303980355,0.515876383283935,0.532978648688457,6305.85860457018,1.00016453910369
"lambda_exp_2006[12]",0.537988413427947,0.000166028611604398,0.0131843763255738,0.512167051915355,0.528964634354176,0.538055252652648,0.546772837391542,0.564210823761725,6305.99045567948,1.0001646224283
"lambda_exp_2006[13]",0.566765291023826,0.000168646697717495,0.0133923910808595,0.540491316125489,0.557607276463385,0.566849118403481,0.575697499908182,0.593354338954509,6306.09577868228,1.00016471095903
"lambda_exp_2006[14]",0.593747474623608,0.000170294224009158,0.0135233071571934,0.567171033885458,0.584508221437217,0.593848209541896,0.602776209289773,0.620548873942852,6306.17456915292,1.00016480470208
"lambda_exp_2006[15]",0.619047035088823,0.00017108231835759,0.0135859471416485,0.59230168986546,0.609773378112568,0.61916439767059,0.628126773063883,0.645924767287913,6306.22682419954,1.00016490366342
