"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma",0.00864280387733675,2.40556784405475e-05,0.0015129300750785,0.00614420810726573,0.00757182365954772,0.00847723884588237,0.00955387426387327,0.012022089412982,3955.51005440569,1.00091376515164
"lambda[1]",0.192634357258016,0.000206544719062054,0.0186738289858313,0.158062367014429,0.179688474394727,0.191960962220851,0.204671456613229,0.231539397314565,8174.07397351511,1.00059562820118
"lambda[2]",0.18843115173708,0.000195842191428483,0.0169843914522558,0.156853302832481,0.176749542946503,0.187775790675132,0.199377404539232,0.223751774425054,7521.20560960022,1.00075886378355
"lambda[3]",0.182516698899033,0.000182171242442391,0.0157704630341453,0.152959240986459,0.171823553405883,0.182056955151608,0.19264027228132,0.214692343651662,7494.26850437426,1.00101708013395
"lambda[4]",0.176570443557824,0.000166218099656215,0.0149074464727072,0.148539532428128,0.166435724791602,0.176250945938896,0.186214525066546,0.206962862731819,8043.58937327395,1.00103319589188
"lambda[5]",0.170646347023167,0.00015545137072897,0.0142784580733035,0.143411416020623,0.160962141112506,0.170290206454225,0.179945088705018,0.199572769957257,8436.71754480527,1.00100418449656
"lambda[6]",0.165817814800969,0.000153196833317293,0.0137267833923774,0.139516057778332,0.156611039671064,0.1655148044962,0.174677128534267,0.193527158082469,8028.56605259333,1.00072088926968
"lambda[7]",0.16185883752955,0.000140266260439014,0.0130172425414991,0.136946234302176,0.153158932584602,0.16148528645611,0.170366050752366,0.188410959475122,8612.54603674326,1.00054984707337
"lambda[8]",0.156562401986841,0.000132624002403163,0.0126447070062491,0.132096273064843,0.148118641035177,0.156307831347767,0.164941542414431,0.182109277454991,9090.19670174435,1.00058417902639
"lambda[9]",0.151393821013557,0.000129690478538521,0.0123667656550841,0.127519167209832,0.143116600549598,0.151223721415608,0.159547659695786,0.176092314844766,9092.76730003864,1.00057973084616
"lambda[10]",0.147471089272701,0.000127494186074728,0.0122004950807053,0.124014817563328,0.139327262980465,0.147246121681837,0.155373273732876,0.172099444296714,9157.44137043469,1.00032496030443
"lambda[11]",0.145293226967556,0.000130906314256371,0.0120520052741306,0.122252946860301,0.137150346164411,0.14498943096297,0.153063573725312,0.169937567107858,8476.1266182382,1.00039033196327
"lambda[12]",0.144409914482307,0.000138351645544754,0.0118088378181271,0.122403670847014,0.136341700160643,0.143940667265888,0.152015847375688,0.168864754204623,7285.27010668718,1.00035268530825
"lambda[13]",0.138252965781349,0.000134701096507466,0.0116457863735919,0.116257329675413,0.13035496856912,0.137935071606629,0.145825398472409,0.162227037419838,7474.72770595998,1.00033475049634
"lambda[14]",0.130394397439998,0.000127287153580845,0.0114486869804825,0.108866224572755,0.122618183171342,0.130041830354214,0.137925451295767,0.153821195865356,8089.8824894238,1.00030244025234
"lambda[15]",0.121284262315421,0.000116043664326336,0.0113180966515056,0.0994509088269336,0.113684733207743,0.121068164570009,0.128617035514488,0.144129471029066,9512.70279578034,1.00022833739894
"lambda[16]",0.111187813962043,0.00010994528727758,0.0112562009633499,0.0891891993876672,0.1037219926859,0.111046010168914,0.118603396732405,0.133697887392181,10481.6689663186,1.00004331704245
"lambda[17]",0.100769033192628,0.000105939488870793,0.0112416251400138,0.0787109998999381,0.0932573640120142,0.100832318968306,0.108212653777594,0.122887636951339,11260.1053076098,0.999997756836991
"lambda[18]",0.0908507046193388,0.00010805119465942,0.0114321142779819,0.0680763600919255,0.0833539468715558,0.0909442293158512,0.098441755603264,0.113105244755351,11194.2233611322,1.0002974734813
"lambda[19]",0.0811481909826787,0.00011175511825317,0.0115825540186994,0.0578669288130167,0.0735871810948216,0.081329332227802,0.0889395305508153,0.103314670829988,10741.7199059916,1.00017813599184
"lambda[20]",0.0719700047948919,0.000124737531042943,0.0119492252333113,0.0478441904860407,0.0641747284276506,0.0722869397216457,0.0799571069581638,0.0948875742228836,9176.67196003525,1.0002355722854
"lambda[21]",0.0632557408684104,0.000138113847957225,0.0122290939980294,0.0382294240360515,0.0553761273809742,0.0636269169780345,0.0715433096291356,0.0863382506780172,7839.964856992,1.00035975768186
"lambda[22]",0.0552127531570489,0.00014942849367454,0.0124655777138756,0.0295942805775666,0.0472644506096087,0.0556016639372141,0.0636856311612139,0.0786775536698282,6959.17862751356,1.00046574236654
"lambda[23]",0.0480745389541411,0.000156711419421019,0.0125303055773773,0.022180025375054,0.0399590941986755,0.0484816558260336,0.0565868585592437,0.0716020442334059,6393.25513368991,1.00029448737503
"lambda[24]",0.0417299188728678,0.000163288483067463,0.0124801161034847,0.0162806821687174,0.0333927072544248,0.0421333829394259,0.0503449313256698,0.0654127863628436,5841.523689679,1.00028592927368
"lambda[25]",0.036106914088386,0.000163072922953549,0.0123650464200071,0.0108754985339657,0.0278155066726563,0.0364377009764811,0.0446304304959799,0.0594560387734741,5749.46971751146,1.00019488586217
"lambda[26]",0.0313570353877571,0.000154531668454849,0.0120272245759974,0.00801510494619576,0.0230745417672756,0.0314385713863119,0.0394943373479002,0.055171666507754,6057.53390140974,1.00045132568755
"lambda[27]",0.0271263347286435,0.000137394458095518,0.0114522039420948,0.00571725307526714,0.0189955862909036,0.0269285440875744,0.0347666641354987,0.0502853694602817,6947.67853631551,1.00029814389378
"lambda[28]",0.023367740505975,0.000124386822481397,0.0108984570232012,0.00382225131262951,0.0154142462088731,0.0228906648420937,0.0306503973762972,0.0459132258925177,7676.81870503345,1.00025213370815
"lambda[29]",0.0205406619541937,0.000116700473403646,0.0103124471585469,0.0028105230352038,0.0129118550955002,0.0198069350197844,0.027414001565514,0.0422966444206349,7808.69098692908,1.00020692829884
"lambda[30]",0.0184083843325118,0.000107027888523162,0.00978163391086877,0.00216185455298711,0.0111255016434099,0.0175932738190178,0.0247251920699349,0.0395724675591696,8352.73867786615,1.00018642658129
"lambda[31]",0.0170275180469709,9.4504170571254e-05,0.00936812131417197,0.00179435917363291,0.010018006155691,0.0160824762611521,0.0230838279305511,0.0374824217531399,9826.59512228224,1.00020630679686
"lambda[32]",0.0160888646809663,9.20124408001728e-05,0.00908713470786583,0.00152240826276984,0.00922691064017042,0.0152171068731472,0.0218044574620955,0.036087029530754,9753.50766356181,1.00006398176216
"lambda[33]",0.0155640113574707,8.7672933208775e-05,0.00889429244408306,0.00141588222164571,0.00885947905246981,0.0146580993790323,0.0211577119346936,0.0353543363355616,10291.8094445216,1.00002295050059
"lambda[34]",0.0153742704770725,8.78010306692461e-05,0.00887906346365684,0.00144944341905906,0.00869704247553539,0.014387447321185,0.0208725010432078,0.0352471982688109,10226.6900205446,1.00004685724072
"lambda[35]",0.0151432807018206,8.55216624850963e-05,0.00880014504881617,0.00146347044033007,0.00846937708720856,0.0141636680163465,0.0205867782251329,0.0349776357751465,10588.3281319968,1.00019824851745
"lambda[36]",0.0149289262454081,8.40912353502873e-05,0.00872855179770341,0.00140010822509324,0.00831348303703815,0.0138762156886288,0.020332332384216,0.0344699975233086,10774.1476241659,1.00013409428093
"lambda[37]",0.014861931957457,8.19873994364793e-05,0.00870509791056531,0.00130696182005064,0.00829508944453119,0.0138994625700327,0.0202495309629016,0.0343803835654374,11273.3527871303,1.00005132092019
"lambda[38]",0.0149471316934693,7.99644369715503e-05,0.00866361730234605,0.00143689554257528,0.00846925424160544,0.0139368326131057,0.0203221802575881,0.0344093911736381,11738.2877758902,0.999935360285076
"lambda[39]",0.0149344073464875,8.25727881450729e-05,0.00879205093629391,0.00133264005927344,0.00836046994682101,0.013883376200681,0.0202587377446778,0.0351057763920651,11337.2178682523,0.99993027361738
"lambda[40]",0.0150332117806315,8.15053762560107e-05,0.00877937542651268,0.00138666167354075,0.00841951597877155,0.0140055819687183,0.0204207285756878,0.0349641483958313,11602.5841928295,1.00011322997599
"lambda[41]",0.0151725310577751,8.23703827678182e-05,0.00879150782636863,0.00150334107952799,0.00855413643026722,0.0141158154223878,0.0206036333286237,0.0350978729083364,11391.5957758029,1.00009121985032
"lambda[42]",0.0152013058948263,8.50589345383674e-05,0.00884565179463118,0.0014988143149558,0.00857807367006916,0.0141495127313266,0.0205765097231339,0.035370479610711,10814.8326215018,1.00016054690676
"lambda[43]",0.0152677494746703,8.5552637951073e-05,0.0088593562046906,0.00142278177444297,0.0086443110183693,0.014215937264462,0.0207877864125837,0.035306542691457,10723.5237168609,1.00002329637748
"lambda[44]",0.0152207209716665,8.92452666310394e-05,0.00889378023453177,0.00136682086902049,0.00854285842208932,0.0142255177008637,0.0207199818426992,0.0351989015803925,9931.215477219,1.00003450118082
"lambda[45]",0.0152465826338616,8.94409005520791e-05,0.00898144204543977,0.00130747958947323,0.00849952297909888,0.014196337967712,0.0207591427305446,0.0354671885188169,10083.6976909361,1.00010463018336
"lambda[46]",0.0152586779599167,8.84017605919606e-05,0.00893450098777489,0.00136386218583824,0.00854924048731022,0.0142165922071577,0.020823310269323,0.0350804947116153,10214.5390606968,0.999976384163474
"lambda[47]",0.0151305830825632,8.68866206217675e-05,0.00892597435667036,0.00140685216803704,0.00846849396758397,0.0140230366684676,0.0205379689920258,0.0353995082191523,10553.7173218552,0.999997477217121
"lambda[48]",0.0149193529023588,8.38837971740556e-05,0.0088892540762312,0.00129564511207116,0.00827520986451631,0.0137683560189379,0.0202917647962265,0.0354125682973268,11229.8634676879,1.00009512946923
"lambda[49]",0.0147509504518147,8.51242716267897e-05,0.00882896621865417,0.00119286909384407,0.00812892173204744,0.0136673715624769,0.0201524342032775,0.0346893053355397,10757.5380910411,1.00011085674528
"lambda[50]",0.0147284786489092,8.31020638102533e-05,0.00884909909468348,0.00135511172221281,0.00808200522879094,0.0135991855281224,0.0200611656690667,0.0347391356206,11338.9932829752,1.00016624341714
"lambda[51]",0.0145841202530416,8.03121520959754e-05,0.00875357789900898,0.00122435724574239,0.00799687513026965,0.0135515609113296,0.0199071642607186,0.03425144595728,11879.7875603663,1.00014054128368
