"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma",0.0186303340812753,4.78278212513415e-05,0.00324201510364053,0.0132633701666068,0.0163283200788774,0.018283441191107,0.0205545215800949,0.0260023169171943,4594.82391289872,1.00094632283142
"lambda[1]",0.417241126160184,0.000427119553953481,0.0414359268652446,0.341983088937247,0.388194121722839,0.415185732007022,0.444034552629347,0.503389915057135,9411.42113026045,1.00096757855737
"lambda[2]",0.408438713803953,0.000407158582619067,0.0379709532334176,0.338668590923289,0.381919509700421,0.40699464568906,0.433069880952984,0.486958106080085,8697.12700473672,1.00086742249537
"lambda[3]",0.396214945244704,0.000380627371174196,0.0352938132119502,0.331027645034641,0.371749052510972,0.394834255167558,0.419196582997738,0.468759776835301,8597.99394330756,1.00098309363257
"lambda[4]",0.38388949394955,0.00035920651711334,0.0333690721157754,0.321593471113633,0.360991261742222,0.38278008116966,0.405630192035476,0.452298933954476,8629.78241809341,1.00085258721439
"lambda[5]",0.371286499864856,0.000338262970417042,0.0317548555715677,0.311720974369082,0.349542371788165,0.370270997128127,0.392201437274227,0.435789885626869,8812.74831308619,1.00048000948072
"lambda[6]",0.360789892454292,0.000320308810379151,0.0304745185917167,0.303069220901354,0.339983558170999,0.360098808857278,0.38069995642114,0.422667285913705,9051.82061172992,1.00050660830125
"lambda[7]",0.351802540004478,0.00030318296564021,0.0287960395365123,0.296938077969073,0.332138954401744,0.351184751265675,0.370788241099534,0.40973581076756,9021.02588095536,1.00050698181484
"lambda[8]",0.340287595954457,0.000284164630199258,0.0277700413679326,0.287099465982178,0.321660999027346,0.339456501110697,0.358527618746251,0.396580576741491,9550.21199736656,1.0003665528987
"lambda[9]",0.329112990071412,0.000278443643793516,0.0273006729218502,0.276168921913188,0.310707406488119,0.328735833354197,0.346904022691498,0.38432307727031,9613.29095751732,1.0002004482046
"lambda[10]",0.320380171611277,0.00028104504666036,0.0270120700066013,0.268085277337873,0.302267749407025,0.319867193095815,0.338074504773129,0.375028595579731,9237.70017625885,1.00023832521023
"lambda[11]",0.314922758773752,0.000289364652264971,0.0264640858360451,0.264858767595049,0.296853575216567,0.314177473507468,0.332161710362404,0.369320763214957,8364.16971993865,1.00033291855608
"lambda[12]",0.312331944681952,0.000303117074830607,0.0260113569136122,0.263379768439936,0.294755986032676,0.311599513202558,0.329033050633347,0.365496123271991,7363.85475926223,1.00036436640795
"lambda[13]",0.298812876621624,0.000284496267878793,0.0253279317635671,0.251244911992848,0.281631499626903,0.297997634052745,0.315337056150084,0.350736407337385,7925.85837676319,1.00024575851867
"lambda[14]",0.281669590901548,0.000270341995759195,0.0248103517315881,0.234762070427055,0.264944366270116,0.280907786449452,0.29770025634493,0.332984162248703,8422.45717205008,1.00012863640331
"lambda[15]",0.261737534423006,0.000243175284435252,0.0243628570921908,0.215523243209841,0.245096811179703,0.261248173575512,0.277698600213418,0.310925902270942,10037.3153840814,1.00024206125584
"lambda[16]",0.239854356642238,0.0002243947123591,0.0241635848681526,0.193429232740697,0.223329471218256,0.239701435478788,0.255566805132944,0.288382916012879,11595.7139630534,1.00026163907494
"lambda[17]",0.217250044862266,0.000211202017518524,0.0242822065439195,0.169669330055332,0.201069367494308,0.217206072354889,0.233312821854342,0.265053552881474,13218.4390477109,1.00023125049108
"lambda[18]",0.195692996610317,0.000216284631278069,0.0246103353277937,0.146645345287569,0.179439908529194,0.195755380434256,0.212215314870493,0.243617761447389,12947.4350603403,1.00019801356614
"lambda[19]",0.174593289384629,0.00023609025687048,0.0251570860893085,0.123752131968148,0.158304310957813,0.174815971799161,0.191490842475784,0.22324873860762,11354.4092226287,1.0003872501979
"lambda[20]",0.154615503758041,0.000262458230941403,0.0257872463125211,0.102115880755208,0.13780319585325,0.155059479373552,0.172214377632171,0.203613734653487,9653.60540002512,1.00064478757639
"lambda[21]",0.135574890550611,0.000284797467225328,0.0264931870087098,0.0808396986745134,0.118526702186832,0.13639713240891,0.15344950274928,0.18596091754217,8653.58700960986,1.00068391452984
"lambda[22]",0.118252022327051,0.000312962851466783,0.0270145077408593,0.062547932930435,0.10088636757755,0.119161932039338,0.136546358094389,0.169535941342768,7450.89659650814,1.00072539495042
"lambda[23]",0.102777921162976,0.000333300410117602,0.0270002369158127,0.0471552192846081,0.0852063010970153,0.103441285753228,0.12126203585709,0.153754244408782,6562.41141169064,1.00096094936427
"lambda[24]",0.0889986626808714,0.000351315498332312,0.0269532136310427,0.0341670025180923,0.0713392307051335,0.0896145857381525,0.10730598382752,0.140664064960561,5886.08444871111,1.00075213930454
"lambda[25]",0.0769189951619086,0.000351685061485176,0.026417809977285,0.0244433456679773,0.0589751968936202,0.0772672988740329,0.09502820720029,0.127773562758269,5642.68467382476,1.00064877498957
"lambda[26]",0.0663386539159826,0.000329023652781411,0.0255513189360078,0.0169866350224804,0.048625102489439,0.0663688325015724,0.0837295982154496,0.116863868541401,6030.76501512736,1.00066834915308
"lambda[27]",0.0570511215094823,0.000304070282811618,0.0245980644809974,0.0112578442677944,0.0394352908542641,0.0565393029425522,0.0737291981430265,0.106550694781168,6544.16009313223,1.00073406622549
"lambda[28]",0.0490045587731024,0.000268062062253463,0.0231894346916423,0.00724026090286639,0.0323395515546546,0.0480665009335801,0.0645169857717351,0.097016008878971,7483.58359785011,1.00045471199771
"lambda[29]",0.0429346448578675,0.000241098316735834,0.0218226675323982,0.00538126408391003,0.0266495963210081,0.0415177212439516,0.0574804528325651,0.0890061623091323,8192.70497533106,1.00055047382789
"lambda[30]",0.0385498348907397,0.000208192547615359,0.0208045558303266,0.00435447144162065,0.022979656747214,0.0367333825327608,0.0520879848598688,0.0835826576049133,9985.88446852189,1.00019450422806
"lambda[31]",0.0355854087680934,0.000190597542960709,0.0199120889224604,0.0036818721229379,0.0205672282167263,0.0337638282977779,0.0484091795140961,0.0792201576943898,10914.379505518,1.00003676415566
"lambda[32]",0.0339882820428092,0.00018238376475299,0.0193087217824115,0.00327899784100966,0.019585141354896,0.0320557414935368,0.0461115442620293,0.076997768582556,11208.1696899847,1.00007373164666
"lambda[33]",0.0328379566323523,0.00018165354980677,0.0189227912539129,0.00329009395200717,0.0185510886252429,0.0307525618869536,0.0446546173227608,0.0750759040560565,10851.3211987182,1.00010595647992
"lambda[34]",0.0326579665884945,0.000183982738382651,0.0187439116842325,0.00312683962182752,0.0185504710777023,0.0305594958826379,0.0443195672443882,0.0746788792968896,10379.2578578625,1.0001004351337
"lambda[35]",0.0323526911933579,0.000178811785705467,0.0187434841490822,0.00313175573372104,0.0181644305304564,0.0302178754358486,0.044023409988898,0.0743808366736806,10987.7397896595,1.00019270307308
"lambda[36]",0.0320940917539975,0.000170854456653819,0.0187734975274399,0.0028917523704794,0.0180863802876902,0.0299526167661609,0.0436640142813801,0.0742378417568127,12073.6270441613,1.00028674494142
"lambda[37]",0.0316965175089805,0.000171578965434022,0.0186305175776678,0.00295658855760359,0.0175632536251395,0.029470106430451,0.0432627362696338,0.0739583228649929,11790.2157096,1.00021580049409
"lambda[38]",0.0318344015608398,0.000172857518378606,0.0189063442183411,0.00262047566723761,0.0175805690408681,0.0294895749799661,0.0434747871716862,0.0743333711992752,11962.9578805882,1.0002601862511
"lambda[39]",0.0319242515508911,0.000177398287353017,0.0188602833872937,0.00281603372813891,0.0177083921430253,0.0296948142981571,0.0433804856870004,0.0742231624196114,11303.1003290855,1.00042639418758
"lambda[40]",0.032368005673473,0.000184919726714689,0.0190207474527802,0.00285645751741022,0.0180722431940759,0.0301583816227243,0.0440363779745866,0.0751927646768315,10580.0732056548,1.00023508038751
"lambda[41]",0.0323646441625509,0.000178764275799065,0.018978476452331,0.00297675615453372,0.0180230898687344,0.0302150518469392,0.0440287839893673,0.0752032402655897,11270.9681619557,1.00028523230089
"lambda[42]",0.0324448051500191,0.000179100807977925,0.0190397593004053,0.00302682165108293,0.0182450422055806,0.0302285747693781,0.0440870992877366,0.0757070475063517,11301.2847417881,1.00023063718913
"lambda[43]",0.0326406063605174,0.00018222231087338,0.0190644844204299,0.00325144020639104,0.0182919708641138,0.0303478380367054,0.0442522889093224,0.0763605005339742,10945.787930779,1.00034708554163
"lambda[44]",0.0326116179045139,0.000181966751324663,0.0192347181312397,0.00293834123748252,0.0182150089835179,0.0303685564383587,0.044455240526273,0.0764096890652926,11173.4571972329,1.00046849637066
"lambda[45]",0.0325325434896469,0.000180215140903989,0.0191035536622689,0.00321392026022224,0.0181576278746678,0.0302243069333811,0.0441363487142922,0.0757774092121112,11236.8807978977,1.0001436505924
"lambda[46]",0.0325464744083827,0.000183161233048661,0.0191369056558232,0.00292503440899652,0.0180427177452946,0.0304304305909996,0.0442190510658171,0.0760342120690277,10916.3214197403,1.00020987369644
